"level";"id";"parent_id";"object_id";"object_type";"object_key";"query_status";"query_time";"query_type";"message";"created_time";"like_count";"comment_count"
"2";"47";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"";"2022-09-29T10:54:47+0000";"0";"0"
"2";"48";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"Maureen Behrens Sollitto wait for the song...";"2022-09-29T11:16:23+0000";"0";"0"
"2";"49";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"အရေးတော်ပုံ အောင်ကိုအောင်ရမည်";"2022-09-29T11:25:21+0000";"0";"0"
"2";"50";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"I have not watched this show, but I will now. That song was beautiful, the camera movements are spot on, and that actor is stunning. The lady was nice, too. 😏 Thanks for posting this!";"2022-09-29T11:33:00+0000";"2";"0"
"2";"51";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"The Irish Rovers do it well, too";"2022-09-29T11:37:16+0000";"0";"0"
"2";"52";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"Beautiful. ❤️‍🩹";"2022-09-29T11:52:46+0000";"0";"0"
"2";"53";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"Great scene.";"2022-09-29T11:53:08+0000";"0";"0"
"2";"54";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"Toukir Ahmed Asif Iqubal dekhsos eita?";"2022-09-29T12:17:25+0000";"0";"0"
"2";"55";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"The only thing I never understood is why, with the abundance of very sad old Irish folk songs, they chose Black Velvet Band for this scene?";"2022-09-29T12:58:26+0000";"0";"0"
"2";"56";"7";"1143803202301544_631465808341038";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"Amazing";"2022-09-29T13:02:46+0000";"0";"0"
"2";"57";"7";"1143803202301544_631465808341038";"offcut";"";"fetched (200)";"2022-09-29 15:28:55.465635";"Facebook:/<post-id>/comments";"";"";"";""
"2";"58";"8";"1143803202301544_631471861673766";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.790106";"Facebook:/<post-id>/comments";"I didn't know him, never heard of him, but may he rest in peace";"2022-09-29T11:20:27+0000";"0";"0"
"2";"59";"8";"1143803202301544_631471861673766";"data";"data.*";"fetched (200)";"2022-09-29 15:28:55.790106";"Facebook:/<post-id>/comments";"😢";"2022-09-29T12:00:09+0000";"0";"0"
"2";"60";"8";"1143803202301544_631471861673766";"offcut";"";"fetched (200)";"2022-09-29 15:28:55.790106";"Facebook:/<post-id>/comments";"";"";"";""
"2";"61";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"Pascal Thier";"2022-09-29T07:10:41+0000";"0";"0"
"2";"62";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"What a tasty fish 🐟 when cook curry";"2022-09-29T07:17:45+0000";"1";"0"
"2";"63";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"✅";"2022-09-29T07:40:27+0000";"1";"0"
"2";"64";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"BBC goes Hollywood; perverse pleasure in aggression, for some.";"2022-09-29T08:04:19+0000";"1";"0"
"2";"65";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"Poor birds,they have to learn to stay well above the water or else";"2022-09-29T09:07:47+0000";"1";"0"
"2";"66";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"Shreya Majumder";"2022-09-29T09:20:13+0000";"0";"0"
"2";"67";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"Amazing vedio";"2022-09-29T09:43:04+0000";"0";"0"
"2";"68";"9";"1143803202301544_630787881742164";"data";"data.*";"fetched (200)";"2022-09-29 15:28:56.063745";"Facebook:/<post-id>/comments";"Imagine forcing fish brains to do physics calculation over several millions of years";"2022-09-29T09:48:45+0000";"1";"0"
